component,terminal_id,temperature,timestamp
Monitor,12,76.6,2017-01-13 11:29:31
Battery,18,97.7,2016-05-24 12:31:13
USB,20,91.5,2016-04-17 14:21:19
GPU,19,74.7,2017-03-03 20:05:38
CPU,19,86.6,2016-05-14 07:13:16
USB,9,49.7,2016-08-10 08:52:12
GPU,4,88.0,2016-11-13 23:10:03
GPU,9,80.5,2016-04-06 01:02:13
CPU,19,95.3,2016-05-29 23:59:35
CPU,8,58.5,2016-09-09 19:29:12
USB,9,47.5,2016-10-23 19:45:46
Battery,6,43.6,2016-11-28 15:01:41
Battery,17,81.3,2016-08-13 05:20:50
USB,18,72.1,2016-07-03 17:56:23
GPU,10,51.1,2016-03-23 13:49:59
CPU,13,97.2,2016-05-01 19:09:07
Monitor,6,86.5,2016-06-09 00:29:21
USB,8,46.1,2017-03-15 09:51:41
CPU,9,92.8,2016-08-08 16:14:43
GPU,11,73.1,2016-08-31 21:10:12
Monitor,13,91.1,2016-07-04 06:46:48
Battery,4,94.0,2016-04-23 07:41:45
Battery,19,65.5,2016-06-13 18:25:35
CPU,15,50.3,2016-10-24 14:27:58
CPU,9,96.6,2016-12-22 07:59:22
CPU,3,81.4,2017-02-27 00:52:23
CPU,16,65.2,2016-04-15 22:25:38
GPU,10,58.7,2016-04-02 07:31:22
GPU,5,61.9,2016-05-16 01:36:05
GPU,12,59.9,2017-02-03 15:57:56
Battery,15,41.1,2017-03-06 04:30:29
GPU,5,59.7,2016-06-19 13:30:00
Battery,19,81.5,2016-08-11 05:36:35
Monitor,4,67.1,2017-01-01 14:57:06
CPU,9,92.9,2016-12-11 03:39:43
Battery,5,54.8,2016-08-03 16:48:42
Battery,5,41.0,2016-08-31 22:58:28
USB,7,51.9,2016-06-01 22:13:23
GPU,20,61.7,2016-06-17 15:27:46
CPU,3,75.2,2016-12-11 06:42:01
Monitor,14,76.5,2016-06-20 19:18:05
USB,10,72.4,2017-02-12 15:17:56
CPU,6,76.9,2016-10-25 00:21:06
CPU,17,88.8,2016-05-10 06:33:48
CPU,18,51.3,2017-01-02 01:33:16
Monitor,14,45.3,2016-11-05 09:17:16
CPU,19,54.4,2016-12-17 06:52:06
USB,11,84.1,2016-11-19 02:03:18
USB,9,88.4,2016-12-11 20:59:22
USB,13,47.4,2016-12-25 13:39:05
Battery,8,78.8,2017-02-04 21:34:45
Monitor,18,99.2,2016-05-28 02:20:15
GPU,18,76.8,2017-01-25 06:55:48
GPU,12,56.0,2016-11-12 09:38:50
Monitor,4,88.3,2016-10-17 09:12:16
USB,15,54.3,2016-11-16 17:19:06
CPU,19,83.4,2017-02-18 03:03:42
CPU,18,55.4,2016-05-11 03:51:27
USB,11,55.1,2017-02-03 18:30:20
Monitor,15,47.7,2017-01-31 00:09:55
Monitor,4,47.3,2016-07-04 23:34:47
CPU,12,93.9,2016-09-10 20:50:42
GPU,19,85.6,2016-07-10 03:59:33
CPU,7,61.6,2016-12-01 09:52:36
GPU,13,63.6,2017-02-20 22:09:04
GPU,13,54.1,2016-08-18 16:38:20
Monitor,19,51.8,2016-06-06 11:45:27
USB,1,53.2,2016-09-06 07:04:30
GPU,7,53.3,2016-09-16 18:45:21
GPU,19,64.4,2016-06-18 01:38:08
Battery,14,74.3,2016-12-17 11:34:30
USB,4,90.1,2017-01-25 03:39:52
GPU,11,49.8,2016-10-26 08:15:31
CPU,20,56.2,2016-07-08 03:50:45
GPU,11,95.1,2017-01-18 15:02:06
Monitor,9,84.0,2017-02-16 04:25:56
Battery,8,90.2,2016-12-16 04:40:17
CPU,10,91.1,2016-11-16 04:08:04
Battery,8,60.2,2016-08-05 11:36:32
GPU,10,89.1,2016-03-04 10:23:06
CPU,10,43.4,2016-04-24 12:14:51
GPU,9,44.7,2017-01-05 07:52:42
USB,6,60.7,2016-04-16 11:13:44
Battery,1,93.0,2016-11-15 11:19:34
CPU,17,69.6,2016-07-21 10:59:30
Battery,16,98.6,2016-05-08 20:03:31
GPU,9,68.6,2016-06-15 02:14:34
GPU,19,53.8,2016-04-22 13:47:40
GPU,7,45.9,2017-02-05 05:37:00
Monitor,19,48.0,2016-03-03 01:28:06
CPU,20,43.3,2017-01-17 08:53:50
CPU,3,84.1,2016-12-07 22:17:52
Monitor,18,43.9,2017-01-11 23:21:35
Battery,8,50.9,2016-06-28 18:00:13
CPU,10,47.2,2016-06-25 12:33:51
CPU,12,42.8,2016-07-04 23:48:59
GPU,14,73.0,2017-01-18 16:04:11
Battery,17,51.8,2016-12-10 21:59:51
CPU,5,50.3,2017-01-13 06:24:32
CPU,4,43.5,2017-01-28 08:27:12
Battery,7,91.5,2016-07-16 03:59:40
GPU,14,79.5,2016-12-28 15:43:08
Monitor,7,79.8,2016-06-21 05:15:18
Battery,19,99.8,2016-03-19 15:02:29
CPU,7,98.4,2016-04-07 20:58:52
Monitor,16,63.7,2016-07-21 03:16:45
Battery,10,53.3,2016-09-27 12:53:26
USB,4,74.5,2016-07-25 18:26:06
GPU,20,70.0,2016-06-12 05:00:05
CPU,5,93.5,2016-06-17 12:04:21
USB,6,64.1,2016-06-03 01:28:32
Monitor,12,53.6,2016-09-24 23:11:18
Monitor,20,72.4,2016-10-08 07:40:33
Monitor,3,75.5,2016-12-07 03:25:56
Battery,2,84.7,2017-01-01 17:30:39
Battery,18,82.7,2017-03-07 15:57:41
CPU,15,99.3,2016-04-08 17:06:51
Monitor,9,47.0,2016-10-30 12:30:06
CPU,12,77.0,2016-12-13 16:58:30
USB,18,72.5,2016-10-07 08:53:21
GPU,16,47.0,2017-01-08 20:25:24
CPU,6,93.3,2016-10-31 12:30:53
Battery,10,92.8,2016-12-03 10:15:09
Battery,18,62.0,2016-11-08 05:37:03
GPU,18,99.9,2016-06-23 20:31:12
USB,15,63.6,2016-12-30 02:10:44
GPU,20,65.6,2016-06-26 23:39:00
GPU,4,81.7,2016-03-02 05:44:42
CPU,19,87.2,2016-03-10 20:14:33
USB,16,96.1,2017-02-23 00:06:11
Battery,14,86.7,2016-05-10 13:13:04
Battery,15,81.2,2017-02-05 07:50:20
Battery,4,71.9,2017-02-20 23:26:38
Battery,11,99.1,2016-08-06 21:36:17
Monitor,19,78.0,2017-02-24 01:42:19
GPU,17,45.3,2016-09-17 16:36:55
GPU,9,42.3,2016-05-19 13:29:37
Monitor,20,82.9,2017-01-06 22:07:01
GPU,11,87.7,2016-12-03 15:35:45
GPU,13,66.2,2016-08-18 08:00:27
Monitor,4,82.9,2016-09-18 08:18:37
USB,19,74.4,2016-04-11 07:52:42
Monitor,10,54.2,2017-01-26 15:11:36
GPU,15,62.8,2016-09-20 16:21:43
CPU,20,86.7,2016-12-11 09:34:28
Monitor,4,79.2,2016-04-20 09:35:58
CPU,14,77.7,2017-02-28 03:32:22
Monitor,18,66.9,2016-07-20 06:59:16
Monitor,15,56.1,2016-06-05 23:43:12
Battery,12,77.2,2016-06-30 20:17:55
GPU,8,88.1,2016-03-01 02:45:52
GPU,9,90.4,2016-09-15 18:45:22
USB,4,98.5,2016-08-28 03:33:11
Monitor,2,84.1,2016-08-28 02:20:11
Monitor,1,87.3,2016-09-21 21:15:42
GPU,20,46.0,2016-08-03 22:55:28
GPU,16,79.6,2017-01-29 01:03:14
Battery,14,57.6,2016-07-08 13:25:37
Monitor,9,53.7,2017-03-11 01:38:07
CPU,14,57.7,2016-03-24 23:22:22
Monitor,5,94.8,2016-11-25 14:53:48
GPU,15,85.8,2017-02-12 03:00:22
CPU,9,76.7,2016-05-23 10:32:26
USB,20,86.7,2016-12-10 18:42:13
Battery,3,86.9,2016-05-27 08:25:26
Monitor,8,61.1,2016-03-25 16:53:28
Battery,2,42.1,2016-05-02 01:41:55
