location,store_name,item_id,margin,timestamp
Glasglow,Lidil,10,3.50,2016-10-01 22:09:09
London,Coop,48,1.26,2017-02-24 17:04:54
Newcastle,Coop,9,2.35,2016-12-10 09:09:37
Newcastle,Tesco,48,1.26,2016-03-09 01:20:54
Edinburgh,Coop,44,4.94,2016-03-08 11:41:36
Newcastle,Coop,59,0.54,2016-09-30 21:29:21
Manchester,Coop,56,9.55,2016-11-04 10:20:38
Glasglow,Morissons,53,4.90,2016-08-17 19:27:40
Glasglow,Morissons,16,6.00,2016-10-07 08:46:48
Birmingham,Lidil,51,3.86,2016-12-24 03:08:59
Edinburgh,Tesco,21,5.78,2016-03-13 11:14:12
Glasglow,Morissons,6,4.36,2017-02-28 00:52:32
Newcastle,Tesco,42,9.19,2016-04-23 12:06:43
London,Tesco,44,4.94,2016-03-26 13:20:28
Newcastle,Coop,15,7.25,2016-11-17 07:28:17
Edinburgh,Sainsbury,10,3.50,2017-02-18 06:06:04
Newcastle,Spar,14,0.36,2016-04-15 01:17:29
London,Aldi,26,8.90,2017-02-08 22:59:33
Birmingham,Aldi,13,8.53,2016-11-05 07:18:31
Newcastle,Tesco,6,4.36,2016-06-12 22:16:50
Birmingham,Tesco,32,5.49,2016-09-01 14:37:05
Manchester,Tesco,28,3.99,2016-05-11 16:05:26
Edinburgh,Tesco,12,5.99,2016-12-21 23:49:03
Edinburgh,Spar,58,9.94,2016-08-06 14:53:31
London,Lidil,17,6.34,2016-06-09 10:07:36
Newcastle,Aldi,23,7.37,2016-06-14 15:46:01
Manchester,Aldi,14,0.36,2016-05-01 05:23:36
Manchester,Aldi,29,1.14,2017-02-23 19:42:02
Manchester,Spar,1,1.30,2016-03-29 08:05:16
Birmingham,Aldi,2,2.38,2016-03-23 20:18:08
London,Sainsbury,60,3.85,2016-05-09 19:16:30
Newcastle,Lidil,25,9.94,2016-12-12 04:20:53
Birmingham,Coop,36,5.67,2016-04-09 22:40:21
Glasglow,Tesco,21,5.78,2016-05-08 06:52:58
Birmingham,Sainsbury,12,5.99,2016-04-28 17:59:23
London,Spar,23,7.37,2016-10-28 14:58:19
Glasglow,Coop,13,8.53,2016-06-11 09:53:27
London,Tesco,48,1.26,2016-07-26 00:32:14
London,Morissons,9,2.35,2016-10-19 01:21:07
